sender_id,count
100007269.0,4
100018299.0,1
1000342981.0,2
1000733486.0,7
1000737222.0,2
10007922.0,2
100087961.0,5
1001279618.0,2
100131491.0,12
10020552.0,11
1002104952.0,1
1002163789.0,19
1002338826.0,296
100259039.0,2
100261976.0,2
100289972.0,1
1002926946.0,5
1003013820.0,1
100304079.0,3
1003041145.0,1
1003119883.0,25
1003232438.0,6
100326850.0,45
1003279945.0,1
1003280438.0,3
100377933.0,22
1004589746.0,1
1004935939.0,2
100548074.0,13
100575222.0,1
100588699.0,2
1006696682.0,2
100671700.0,2
1007176070.0,3
1007199949.0,7
1007237833.0,6
100729776.0,1
10073012.0,2
1007387670.0,2
1007641866.0,1
1007644231.0,19
10077212.0,1
1007888575.0,2
1007960863.0,3
100873064.0,1
100885258.0,2
100898390.0,7
100915481.0,1
100920967.0,1
1009857895.0,1
100991078.0,6
1010025344.0,1
1010174292.0,83
1010229188.0,1
101096627.0,4
101105362.0,1
101159359.0,9
1011600240.0,1
101189268.0,5
1012004240.0,1
1012101.0,3
1012321291.0,62
1012530307.0,1
101310780.0,69
101373049.0,1
101379980.0,2
1014137671.0,1
1014177697.0,2
101422678.0,48
1014458112.0,1
101513098.0,2
101536072.0,1
101549204.0,6
101555188.0,3
101576477.0,3
1015784004.0,5
1015899554.0,3
1016039990.0,1
101621321.0,11
101623948.0,1
1016471142.0,1
101647812.0,21
1016488507.0,6
101812106.0,1
101846005.0,34
101858790.0,1
1018610756.0,4
101863559.0,3
1018641318.0,9
101896716.0,8
10194162.0,1
101955622.0,7
10197872.0,2
10205742.0,1
1020847784.0,175
102118414.0,1
1021293980.0,4
1021380050.0,4
102144651.0,3
1021568892.0,10
102166625.0,6
102230855.0,3
1022409918.0,1
10226042.0,1
10226202.0,4
1022862536.0,1
1023401293.0,19
1023434556.0,2
102396079.0,2
102396973.0,2
102403729.0,1
102413850.0,3
102434441.0,9
102436884.0,2
102438325.0,3
102449895.0,15
1024715916.0,11
102477208.0,21
102522687.0,3
1025244018.0,3
1025259973.0,1
10253572.0,11
10255512.0,2
1025610667.0,2
1025633058.0,103
1025880614.0,11
1026475424.0,19
1026895928.0,1
102716907.0,3
102801819.0,1
10280352.0,2
10281422.0,1
102842351.0,1
102843040.0,3
102844091.0,3
102909100.0,1
1029197192.0,2
1029254252.0,6
1029266184.0,8
102960619.0,1
1030007618.0,1
103062640.0,1
103069805.0,3
103086312.0,5
103115695.0,2
103117485.0,2
103152252.0,12
1031934558.0,3
1031954768.0,3
1032241.0,1
1032376843.0,4
1032902060.0,31
103331100.0,6
103335724.0,3
1033611324.0,3
103376731.0,5
103385543.0,1
103392532.0,13
103416293.0,262
1034193199.0,1
1034991546.0,8
103510664.0,1
1035287294.0,27
103572119.0,1
1035747374.0,1
1035801655.0,1
103583150.0,2
1035897414.0,98
1036261105.0,1
10365322.0,2
103654492.0,9
103694679.0,100
103699132.0,9
10370452.0,12
103714951.0,15
103720148.0,2
1038255818.0,2
103852477.0,1
1038550640.0,3
1038603235.0,27
1038619825.0,1
103861997.0,20
103868661.0,1
103896841.0,1
1038984079.0,1
103918893.0,1
1039462026.0,2
10396.0,12
103969194.0,36
103983943.0,5
103998906.0,2
104015461.0,14
104021813.0,8
1041146191.0,8
1041423523.0,26
1041457231.0,1
10419.0,4
104205717.0,35
104291689.0,2
104294896.0,14
104309023.0,2
104321512.0,1
104326687.0,3
104342107.0,3
1043432988.0,1
104371090.0,4
1044299724.0,4
10446382.0,2
1044671899.0,2
104523971.0,2
104534097.0,2
104552134.0,23
104559985.0,7
104584141.0,25
1045869174.0,20
104597802.0,1
104603026.0,3
104613204.0,1
104614891.0,1
1046263460.0,8
10467222.0,1
104677566.0,18
1048178702.0,1
104848423.0,5
1048501.0,5
104850654.0,1
104862410.0,112
1048660620.0,1
104892147.0,1
104894190.0,307
104905755.0,3
1049204132.0,4
1049255864.0,46
104927591.0,1
1049384370.0,1
104951089.0,4
105032651.0,1
105054184.0,1
1050820454.0,2
1050869372.0,6
1051307354.0,3
105161389.0,1
105281792.0,2
10529322.0,6
105312327.0,1
105321823.0,2
1053359419.0,3
1053418952.0,12
1053736183.0,1
1054089344.0,1
105433137.0,1
1054591118.0,15
1055168912.0,65
1055234202.0,73
1055680525.0,1
1055801564.0,5
1055871588.0,1
1056150546.0,1
1056171770.0,1
105626885.0,13
1056599576.0,4
10566272.0,1
105663304.0,60
105680213.0,1
1056807277.0,46
1056958220.0,1
10572972.0,2
1057632716.0,4
1057854637.0,3
105819368.0,16
10583012.0,1
105853746.0,1
1058728435.0,1
105890570.0,1
1059012696.0,2
105927933.0,5
105943269.0,5
1061090497.0,1
106116642.0,7
106149410.0,1
106157136.0,1
106163017.0,6
1061728644.0,1
1061740760.0,5
106188285.0,12
106226855.0,3
106228657.0,20
