ct_id       numReports       probability
25025140300       0       0.0294558755792
25025110502       4       0.0323208598869
25025110501       3       0.0165743317208
25025100100       0       0.0211449622963
25025092400       0       0.0377698885158
25025040801       1       0.0453664536685
25025081500       3       0.0275179410304
25025080601       7       0.00587657815385
25025060800       3       0.0420176632209
25025030300       8       0.0389042488617
25025030100       2       0.0450274612472
25025010600       0       0.0301140803485
25025010403       4       0.0194005037517
